====== PRINT_BPTREE ======
FrequentPattern		Frequency
{chocolate bread, eggs} 2
{corn, eggs} 2
{eggs, mashed potato} 2
{eggs, pickles} 2
{eggs, shallot} 2
{burger sauce, chicken, eggs, fresh bread, milk} 2
{burger sauce, chicken, eggs, fresh bread, turkey} 2
{burger sauce, chicken, eggs, frozen smoothie, mineral water} 2
{burger sauce, chicken, eggs, light cream, mineral water} 2
{burger sauce, eggs, french fries, fresh bread, milk} 2
{burgers, butter, eggs, pancakes, vegetables mix} 2
{burgers, cake, carrots, eggs, mineral water} 2
{burgers, cake, eggs, fresh tuna, pancakes} 2
{burgers, cake, eggs, fresh tuna, turkey} 2
{burgers, cake, eggs, frozen vegetables, turkey} 2
{burgers, cake, eggs, green tea, mineral water} 2
{burgers, cake, eggs, ground beef, milk} 2
{burgers, cake, eggs, ground beef, mineral water} 2
{burgers, cake, eggs, meatballs, milk} 2
{burgers, cake, eggs, meatballs, mineral water} 2
{burgers, cake, eggs, milk, turkey} 2
{burgers, cake, eggs, mineral water, turkey} 2
{burgers, carrots, eggs, low fat yogurt, milk} 2
{burgers, chocolate, cookies, eggs, spaghetti} 2
{burgers, chocolate, eggs, french fries, frozen smoothie} 2
{burgers, chocolate, eggs, french fries, green tea} 2
{burgers, chocolate, eggs, french fries, ham} 2
{burgers, chocolate, eggs, french fries, mineral water} 2
{burgers, chocolate, eggs, french fries, shrimp} 2
{burgers, chocolate, eggs, french fries, tomatoes} 2
{burgers, chocolate, eggs, frozen smoothie, spaghetti} 2
{burgers, chocolate, eggs, frozen vegetables, milk} 2
{burgers, chocolate, eggs, frozen vegetables, mineral water} 2
{burgers, chocolate, eggs, frozen vegetables, pancakes} 2
{burgers, chocolate, eggs, ground beef, mineral water} 2
{burgers, chocolate, eggs, ground beef, shrimp} 2
{burgers, chocolate, eggs, ground beef, spaghetti} 2
{burgers, chocolate, eggs, ground beef, turkey} 2
{burgers, chocolate, eggs, ham, low fat yogurt} 2
{burgers, chocolate, eggs, ham, milk} 2
{burgers, chocolate, eggs, ham, tomatoes} 2
{burgers, chocolate, eggs, low fat yogurt, tomatoes} 2
{burgers, chocolate, eggs, milk, tomatoes} 2
{burgers, chocolate, eggs, milk, turkey} 2
{burgers, chocolate, eggs, pancakes, spaghetti} 2
{burgers, cookies, eggs, french fries, ham} 2
{burgers, cookies, eggs, french fries, spaghetti} 2
{burgers, cookies, eggs, green tea, ham} 2
{burgers, cookies, eggs, green tea, milk} 2
{burgers, cookies, eggs, green tea, mineral water} 2
{burgers, cookies, eggs, green tea, spaghetti} 2
{burgers, cookies, eggs, ground beef, spaghetti} 2
{burgers, cookies, eggs, milk, spaghetti} 2
{burgers, cottage cheese, eggs, french fries, hot dogs} 2
{burgers, eggs, energy bar, french fries, spaghetti} 2
{burgers, eggs, energy drink, french fries, green tea} 2
{burgers, eggs, escalope, french fries, pancakes} 2
{burgers, eggs, escalope, french fries, spaghetti} 2
{burgers, eggs, escalope, light mayo, pancakes} 2
{burgers, eggs, escalope, mineral water, pancakes} 2
{burgers, eggs, escalope, pancakes, spaghetti} 2
{burgers, eggs, french fries, frozen smoothie, tomatoes} 2
{burgers, eggs, french fries, frozen vegetables, green tea} 2
{burgers, eggs, french fries, gluten free bar, light mayo} 2
{burgers, eggs, french fries, green tea, milk} 2
{burgers, eggs, french fries, green tea, mineral water} 2
{burgers, eggs, french fries, green tea, tomatoes} 2
{burgers, eggs, french fries, green tea, whole wheat rice} 2
{burgers, eggs, french fries, ground beef, spaghetti} 2
{burgers, eggs, french fries, ham, pancakes} 2
{burgers, eggs, french fries, ham, spaghetti} 2
{burgers, eggs, french fries, ham, tomatoes} 2
{burgers, eggs, french fries, ham, whole wheat rice} 2
{burgers, eggs, french fries, hot dogs, light mayo} 2
{burgers, eggs, french fries, light mayo, tomatoes} 2
{burgers, eggs, french fries, low fat yogurt, mineral water} 2
{burgers, eggs, french fries, low fat yogurt, pancakes} 2
{burgers, eggs, french fries, low fat yogurt, tomatoes} 2
{burgers, eggs, french fries, milk, tomatoes} 2
{burgers, eggs, french fries, mineral water, pancakes} 2
{burgers, eggs, french fries, mineral water, shrimp} 2
{burgers, eggs, french fries, pancakes, shrimp} 2
{burgers, eggs, fresh bread, fresh tuna, frozen vegetables} 2
{burgers, eggs, fresh bread, frozen vegetables, pancakes} 2
{burgers, eggs, fresh tuna, gluten free bar, pancakes} 2
{burgers, eggs, fresh tuna, gluten free bar, spaghetti} 2
{burgers, eggs, fresh tuna, light mayo, spaghetti} 2
{burgers, eggs, fresh tuna, pancakes, turkey} 2
{burgers, eggs, fromage blanc, mineral water, salmon} 2
{burgers, eggs, frozen smoothie, mineral water, salmon} 2
{burgers, eggs, frozen vegetables, grated cheese, spaghetti} 2
{burgers, eggs, frozen vegetables, ground beef, mineral water} 2
{burgers, eggs, frozen vegetables, low fat yogurt, milk} 2
{burgers, eggs, frozen vegetables, low fat yogurt, mineral water} 2
{burgers, eggs, frozen vegetables, milk, spaghetti} 2
{burgers, eggs, frozen vegetables, mineral water, spaghetti} 2
{burgers, eggs, frozen vegetables, pancakes, spaghetti} 2
{burgers, eggs, gluten free bar, pancakes, spaghetti} 2
{burgers, eggs, grated cheese, green tea, spaghetti} 2
{burgers, eggs, grated cheese, ground beef, mineral water} 2
{burgers, eggs, grated cheese, ground beef, spaghetti} 2
{burgers, eggs, grated cheese, gums, low fat yogurt} 2
{burgers, eggs, grated cheese, gums, spaghetti} 2
{burgers, eggs, grated cheese, low fat yogurt, spaghetti} 2
{burgers, eggs, grated cheese, mineral water, spaghetti} 2
{burgers, eggs, grated cheese, pepper, turkey} 2
{burgers, eggs, green tea, light mayo, yogurt cake} 2
{burgers, eggs, green tea, milk, mineral water} 2
{burgers, eggs, green tea, mineral water, pancakes} 2
{burgers, eggs, green tea, mineral water, tomatoes} 2
{burgers, eggs, green tea, mushroom cream sauce, yogurt cake} 2
{burgers, eggs, green tea, pepper, spaghetti} 2
{burgers, eggs, ground beef, milk, mineral water} 2
{burgers, eggs, ground beef, milk, turkey} 2
{burgers, eggs, ground beef, shrimp, spaghetti} 2
{burgers, eggs, ground beef, soup, turkey} 2
{burgers, eggs, gums, low fat yogurt, spaghetti} 2
{burgers, eggs, ham, low fat yogurt, spaghetti} 2
{burgers, eggs, ham, low fat yogurt, tomatoes} 2
{burgers, eggs, ham, low fat yogurt, whole wheat rice} 2
{burgers, eggs, ham, milk, pancakes} 2
{burgers, eggs, ham, milk, shrimp} 2
{burgers, eggs, ham, milk, spaghetti} 2
{burgers, eggs, ham, milk, tomatoes} 2
{burgers, eggs, ham, milk, whole wheat rice} 2
{burgers, eggs, light mayo, mineral water, pancakes} 2
{burgers, eggs, light mayo, mineral water, turkey} 2
{burgers, eggs, light mayo, pancakes, spaghetti} 2
{burgers, eggs, low fat yogurt, milk, pancakes} 2
{burgers, eggs, low fat yogurt, milk, pasta} 2
{burgers, eggs, low fat yogurt, milk, shrimp} 2
{burgers, eggs, low fat yogurt, milk, tomatoes} 2
{burgers, eggs, low fat yogurt, milk, turkey} 2
{burgers, eggs, low fat yogurt, milk, whole wheat rice} 2
{burgers, eggs, low fat yogurt, mineral water, pancakes} 2
{burgers, eggs, low fat yogurt, mineral water, spaghetti} 2
{burgers, eggs, low fat yogurt, pancakes, spaghetti} 2
{burgers, eggs, low fat yogurt, pasta, shrimp} 2
{burgers, eggs, meatballs, milk, mineral water} 2
{burgers, eggs, milk, mineral water, pancakes} 2
{burgers, eggs, milk, mineral water, shrimp} 2
{burgers, eggs, milk, mineral water, spaghetti} 2
{burgers, eggs, milk, mineral water, turkey} 2
{burgers, eggs, milk, mineral water, whole wheat rice} 2
{burgers, eggs, milk, pancakes, shrimp} 2
{burgers, eggs, milk, pancakes, spaghetti} 2
{burgers, eggs, milk, pasta, shrimp} 2
{burgers, eggs, milk, shrimp, spaghetti} 2
{burgers, eggs, milk, spaghetti, turkey} 2
{burgers, eggs, mineral water, pancakes, spaghetti} 2
{burgers, eggs, mineral water, shrimp, spaghetti} 2
{burgers, eggs, pancakes, spaghetti, turkey} 2
{burgers, eggs, pasta, shrimp, whole wheat rice} 2
{butter, chocolate, eggs, french fries, green tea} 2
{butter, chocolate, eggs, french fries, ground beef} 2
{butter, chocolate, eggs, french fries, spaghetti} 2
{butter, chocolate, eggs, green tea, ground beef} 2
{butter, chocolate, eggs, soup, spaghetti} 2
{butter, chocolate, eggs, spaghetti, whole wheat pasta} 2
{butter, eggs, french fries, green tea, ground beef} 2
{butter, eggs, french wine, frozen vegetables, pancakes} 2
{butter, eggs, french wine, frozen vegetables, soup} 2
{butter, eggs, french wine, pancakes, soup} 2
{butter, eggs, frozen vegetables, pancakes, soup} 2
{butter, eggs, green tea, pancakes, turkey} 2
{cake, chicken, eggs, french fries, mineral water} 2
{cake, chicken, eggs, frozen smoothie, mineral water} 2
{cake, chicken, eggs, milk, spaghetti} 2
{cake, chicken, eggs, spaghetti, turkey} 2
{cake, chocolate, eggs, grated cheese, mineral water} 2
{cake, chocolate, eggs, ground beef, spaghetti} 2
{cake, chocolate, eggs, mineral water, salmon} 2
{cake, chocolate, eggs, mineral water, spaghetti} 2
{cake, chocolate, eggs, pancakes, spaghetti} 2
{cake, chocolate, eggs, salmon, spaghetti} 2
{cake, eggs, energy drink, pancakes, spaghetti} 2
{cake, eggs, energy drink, parmesan cheese, spaghetti} 2
{cake, eggs, french fries, fresh bread, frozen smoothie} 2
{cake, eggs, french fries, fresh bread, milk} 2
{cake, eggs, french fries, frozen smoothie, milk} 2
{cake, eggs, french fries, green tea, milk} 2
{cake, eggs, french fries, green tea, shrimp} 2
{cake, eggs, french fries, milk, turkey} 2
{cake, eggs, french fries, mineral water, turkey} 2
{cake, eggs, french fries, tomato juice, tomatoes} 2
{cake, eggs, fresh bread, fresh tuna, turkey} 2
{cake, eggs, fresh bread, frozen smoothie, milk} 2
{cake, eggs, fresh bread, milk, mineral water} 2
{cake, eggs, fresh tuna, frozen smoothie, mineral water} 2
{cake, eggs, fresh tuna, pancakes, turkey} 2
{cake, eggs, fromage blanc, frozen smoothie, mineral water} 2
{cake, eggs, frozen smoothie, hot dogs, mineral water} 2
{cake, eggs, frozen smoothie, hot dogs, tomatoes} 2
{cake, eggs, frozen vegetables, milk, mineral water} 2
{cake, eggs, green tea, ground beef, mineral water} 2
{cake, eggs, green tea, ground beef, tomatoes} 2
{cake, eggs, green tea, milk, spaghetti} 2
{cake, eggs, green tea, milk, turkey} 2
{cake, eggs, green tea, mineral water, pancakes} 2
{cake, eggs, green tea, mineral water, spaghetti} 2
{cake, eggs, green tea, mineral water, tomatoes} 2
{cake, eggs, green tea, mineral water, turkey} 2
{cake, eggs, green tea, parmesan cheese, shrimp} 2
{cake, eggs, ground beef, milk, mineral water} 2
{cake, eggs, ground beef, milk, turkey} 2
{cake, eggs, ground beef, mineral water, pancakes} 2
{cake, eggs, ground beef, mineral water, tomatoes} 2
{cake, eggs, ground beef, spaghetti, turkey} 2
{cake, eggs, meatballs, milk, mineral water} 2
{cake, eggs, milk, mineral water, spaghetti} 2
{cake, eggs, mineral water, pancakes, whole wheat rice} 2
{cereals, chocolate, eggs, frozen vegetables, mineral water} 2
{cereals, eggs, french fries, frozen vegetables, ham} 2
{cereals, eggs, frozen vegetables, ground beef, tomatoes} 2
{cereals, eggs, green tea, ground beef, mineral water} 2
{cereals, eggs, ground beef, shrimp, spaghetti} 2
{cereals, eggs, mineral water, shrimp, spaghetti} 2
{champagne, dessert wine, eggs, mineral water, pancakes} 2
{champagne, eggs, french fries, frozen vegetables, milk} 2
{champagne, eggs, french fries, ham, pancakes} 2
{champagne, eggs, french fries, ham, spaghetti} 2
{champagne, eggs, french fries, pancakes, spaghetti} 2
{champagne, eggs, frozen smoothie, frozen vegetables, tomatoes} 2
{champagne, eggs, ground beef, low fat yogurt, salmon} 2
{champagne, eggs, ground beef, low fat yogurt, tomatoes} 2
{champagne, eggs, ground beef, salmon, tomatoes} 2
{champagne, eggs, low fat yogurt, salmon, tomatoes} 2
{chicken, chocolate, eggs, french fries, frozen smoothie} 2
{chicken, chocolate, eggs, french fries, ground beef} 2
{chicken, chocolate, eggs, french fries, spaghetti} 2
{chicken, chocolate, eggs, fresh bread, frozen vegetables} 2
{chicken, chocolate, eggs, fresh bread, mineral water} 2
{chicken, chocolate, eggs, fresh bread, white wine} 2
{chicken, chocolate, eggs, frozen vegetables, white wine} 2
{chicken, chocolate, eggs, frozen vegetables, whole wheat pasta} 2
{chicken, chocolate, eggs, green tea, mineral water} 2
{chicken, chocolate, eggs, ham, mineral water} 2
{chicken, chocolate, eggs, light cream, mineral water} 2
{chicken, chocolate, eggs, mineral water, turkey} 2
{chicken, chocolate, eggs, mineral water, white wine} 2
{chicken, chocolate, eggs, mineral water, whole wheat pasta} 2
{chicken, eggs, extra dark chocolate, mineral water, tomatoes} 2
{chicken, eggs, french fries, fresh bread, milk} 2
{chicken, eggs, french fries, fresh bread, mineral water} 2
{chicken, eggs, french fries, fresh bread, spaghetti} 2
{chicken, eggs, french fries, frozen smoothie, milk} 2
{chicken, eggs, french fries, frozen vegetables, ground beef} 2
{chicken, eggs, french fries, frozen vegetables, milk} 2
{chicken, eggs, french fries, frozen vegetables, whole wheat pasta} 2
{chicken, eggs, french fries, grated cheese, ground beef} 2
{chicken, eggs, french fries, grated cheese, mineral water} 2
{chicken, eggs, french fries, green tea, ground beef} 2
{chicken, eggs, french fries, ground beef, whole wheat pasta} 2
{chicken, eggs, french fries, milk, turkey} 2
{chicken, eggs, french fries, milk, whole wheat pasta} 2
{chicken, eggs, french fries, spaghetti, turkey} 2
{chicken, eggs, fresh bread, fresh tuna, milk} 2
{chicken, eggs, fresh bread, frozen vegetables, mineral water} 2
{chicken, eggs, fresh bread, frozen vegetables, white wine} 2
{chicken, eggs, fresh bread, mineral water, turkey} 2
{chicken, eggs, fresh bread, mineral water, white wine} 2
{chicken, eggs, fresh tuna, mineral water, turkey} 2
{chicken, eggs, frozen vegetables, green tea, mineral water} 2
{chicken, eggs, frozen vegetables, ground beef, milk} 2
{chicken, eggs, frozen vegetables, ground beef, whole wheat pasta} 2
{chicken, eggs, frozen vegetables, milk, whole wheat pasta} 2
{chicken, eggs, frozen vegetables, mineral water, white wine} 2
{chicken, eggs, frozen vegetables, mineral water, whole wheat pasta} 2
{chicken, eggs, grated cheese, ground beef, milk} 2
{chicken, eggs, grated cheese, ground beef, spaghetti} 2
{chicken, eggs, grated cheese, mineral water, nonfat milk} 2
{chicken, eggs, grated cheese, nonfat milk, spaghetti} 2
{chicken, eggs, green tea, milk, spaghetti} 2
{chicken, eggs, green tea, mineral water, spaghetti} 2
{chicken, eggs, green tea, mineral water, turkey} 2
{chicken, eggs, ground beef, milk, mineral water} 2
{chicken, eggs, ground beef, milk, whole wheat pasta} 2
{chicken, eggs, ground beef, mineral water, spaghetti} 2
{chicken, eggs, meatballs, mineral water, tomatoes} 2
{chicken, eggs, meatballs, mineral water, whole wheat rice} 2
{chicken, eggs, meatballs, spaghetti, tomatoes} 2
{chicken, eggs, meatballs, tomatoes, whole wheat rice} 2
{chicken, eggs, mineral water, nonfat milk, spaghetti} 2
{chicken, eggs, mineral water, pancakes, tomatoes} 2
{chicken, eggs, mineral water, spaghetti, tomatoes} 2
{chicken, eggs, mineral water, spaghetti, turkey} 2
{chicken, eggs, mineral water, tomatoes, turkey} 2
{chicken, eggs, mineral water, tomatoes, whole wheat rice} 2
{chicken, eggs, spaghetti, tomatoes, turkey} 2
{chocolate, cider, eggs, french fries, pancakes} 2
{chocolate, cookies, eggs, french fries, green tea} 2
{chocolate, cookies, eggs, french fries, spaghetti} 2
{chocolate, cookies, eggs, frozen smoothie, spaghetti} 2
{chocolate, cookies, eggs, grated cheese, ground beef} 2
{chocolate, cookies, eggs, grated cheese, mineral water} 2
{chocolate, cookies, eggs, grated cheese, spaghetti} 2
{chocolate, cookies, eggs, ground beef, mineral water} 2
{chocolate, cookies, eggs, ground beef, spaghetti} 2
{chocolate, cookies, eggs, mineral water, spaghetti} 2
{chocolate, eggs, escalope, french fries, green tea} 2
{chocolate, eggs, escalope, french fries, pancakes} 2
{chocolate, eggs, flax seed, french fries, green tea} 2
{chocolate, eggs, french fries, fresh bread, mineral water} 2
{chocolate, eggs, french fries, frozen smoothie, frozen vegetables} 2
{chocolate, eggs, french fries, frozen smoothie, low fat yogurt} 2
{chocolate, eggs, french fries, frozen smoothie, milk} 2
{chocolate, eggs, french fries, frozen smoothie, pancakes} 2
{chocolate, eggs, french fries, frozen smoothie, spaghetti} 2
{chocolate, eggs, french fries, frozen vegetables, ground beef} 2
{chocolate, eggs, french fries, frozen vegetables, low fat yogurt} 2
{chocolate, eggs, french fries, frozen vegetables, pancakes} 2
{chocolate, eggs, french fries, frozen vegetables, tomatoes} 2
{chocolate, eggs, french fries, grated cheese, mineral water} 2
{chocolate, eggs, french fries, grated cheese, spaghetti} 2
{chocolate, eggs, french fries, green tea, pancakes} 2
{chocolate, eggs, french fries, green tea, spaghetti} 2
{chocolate, eggs, french fries, green tea, tomatoes} 2
{chocolate, eggs, french fries, ground beef, spaghetti} 2
{chocolate, eggs, french fries, ground beef, tomatoes} 2
{chocolate, eggs, french fries, ham, low fat yogurt} 2
{chocolate, eggs, french fries, ham, pancakes} 2
{chocolate, eggs, french fries, ham, spaghetti} 2
{chocolate, eggs, french fries, ham, tomatoes} 2
{chocolate, eggs, french fries, light mayo, pancakes} 2
{chocolate, eggs, french fries, low fat yogurt, pancakes} 2
{chocolate, eggs, french fries, low fat yogurt, spaghetti} 2
{chocolate, eggs, french fries, milk, shrimp} 2
{chocolate, eggs, french fries, milk, whole wheat pasta} 2
{chocolate, eggs, french fries, mineral water, pancakes} 2
{chocolate, eggs, french fries, mineral water, shrimp} 2
{chocolate, eggs, french fries, muffins, pancakes} 2
{chocolate, eggs, french fries, spaghetti, tomatoes} 2
{chocolate, eggs, french wine, pancakes, spaghetti} 2
{chocolate, eggs, french wine, pancakes, whole wheat pasta} 2
{chocolate, eggs, french wine, spaghetti, whole wheat pasta} 2
{chocolate, eggs, fresh bread, frozen vegetables, turkey} 2
{chocolate, eggs, fresh bread, ground beef, mineral water} 2
{chocolate, eggs, fresh bread, ground beef, pancakes} 2
{chocolate, eggs, fresh bread, ground beef, spaghetti} 2
{chocolate, eggs, fresh bread, mineral water, spaghetti} 2
{chocolate, eggs, fresh bread, mineral water, turkey} 2
{chocolate, eggs, frozen smoothie, green tea, mineral water} 2
{chocolate, eggs, frozen smoothie, green tea, spaghetti} 2
{chocolate, eggs, frozen smoothie, ground beef, spaghetti} 2
{chocolate, eggs, frozen smoothie, ham, spaghetti} 2
{chocolate, eggs, frozen smoothie, low fat yogurt, milk} 2
{chocolate, eggs, frozen smoothie, milk, mineral water} 2
{chocolate, eggs, frozen smoothie, mineral water, protein bar} 2
